episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
10,-79.88470036640439,45.93368382565677,210,1,0,0,0.04963800311088562,10.5,0.15961112082004547,0.2057262987962791,0.4894605278968811,0,0.0,0.7047619047619048,0.098108866338184,0.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.026071545939139407,0.0026013398676046303,0.08306741915986918,0.9440608024597168,16.663637161254883,1,1,70,3.5,0,0.29909350872675866
11,-15.256190943593726,25.40674564614892,81,1,0,0,0.05334118381142616,4.05,0.14714281260967255,0.2632413747272006,0.48942017555236816,0,0.0,0.6666666666666666,0.023014766008000963,0.0,0.0,0.0,0.0,0.9506172839506173,0.0,0.0016767537113673847,0.0026920942106732617,0.11733363802332063,1.3184186220169067,22.079448699951172,1,1,37,1.85,0,0.11309950979490108
12,-96.5930770703207,49.9766472093761,240,0,0,0,0.30704453587532043,12.0,0.12504643201828003,0.19330580125097185,0.7386746406555176,0,0.0,0.7208333333333333,0.0827324927914992,0.0,0.0,0.0,0.008333333333333333,0.9916666666666667,0.0,0.004428870594083922,0.004070808125349382,0.15043525042880598,1.4303016662597656,27.045812606811523,1,1,31,1.55,0,0.33174981301787704
13,6.789618948202454,10.513163410127163,52,1,0,0,0.054902754724025726,2.6,0.23684538900852203,0.19486023843861544,0.2560180425643921,0,0.0,0.8846153846153846,0.10716742836078871,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.1168454020125681,0.0028090997813985897,0.12468691678861013,1.212541937828064,19.927968978881836,0,0,0,0.0,0,0.33494415578019315
14,3.396133617795531,17.850809775292873,63,1,0,0,0.052729737013578415,3.1500000000000004,0.17984996736049652,0.27319674915264525,0.5547109842300415,0,0.0,0.5873015873015873,0.03560459789358037,0.0,0.0,0.0,0.0,1.0,0.0,0.053849504390726444,0.0029138057596153682,0.16684447231865118,1.6250269412994385,31.335609436035156,1,1,11,0.55,0,0.32037724838517484
15,-29.663447245894123,38.422124247998,169,1,0,0,0.050638314336538315,8.450000000000001,0.1752319484949112,0.2191597178754722,0.5075896978378296,0,0.0,0.6390532544378699,0.03170521947202194,0.0,0.0,0.0,0.0,0.9881656804733728,0.0,0.05522404105004208,0.0026488631037918067,0.12547540820352512,1.288761854171753,24.007661819458008,1,1,14,0.7000000000000001,0,0.19237470326807188
16,-97.51106030134537,108.39502518810332,112,1,0,0,0.03848288580775261,5.6000000000000005,0.018282175064086914,0.34531710419936906,0.8725640773773193,23,0.20535714285714285,0.5267857142857143,0.014006464768518079,0.0,0.0,0.0,0.16964285714285715,1.0,0.21428571428571427,-0.12110504938255862,0.02955332268694682,0.12453918857863755,1.3095083236694336,24.9819278717041,1,1,35,1.75,1,-0.06770098667281865
17,-4.804432484111615,20.702508006244898,87,1,0,0,0.05271031707525253,4.3500000000000005,0.17806018888950348,0.22132131975443883,0.468671590089798,0,0.0,0.7586206896551724,0.06477229718277755,0.0,0.0,0.0,0.0,1.0,0.0,0.051537488333898596,0.003512780631667581,0.12042436520997221,1.3597012758255005,29.58808135986328,1,1,20,1.0,0,0.2854218657468015
18,7.67224119529307,7.047402624040842,49,1,0,0,0.046138033270835876,2.45,0.2604064345359802,0.14010265857285384,0.2971389591693878,0,0.0,0.46938775510204084,0.005234900501807246,0.0,0.0,0.0,0.0,1.0,0.0,0.14780239015819635,0.0033795960931753627,0.1592398652312707,1.452284574508667,28.319805145263672,0,0,0,0.0,0,0.4970279583433067
19,8.692670458544315,15.054402157664299,52,1,0,0,0.0536457784473896,2.6,0.18622992932796478,0.26840854077958143,0.4329250752925873,0,0.0,0.8846153846153846,0.18203139717067116,0.0,0.0,0.0,0.0,1.0,0.0,0.05619953534410929,0.003613567284236734,0.1181973927819994,1.2875874042510986,21.408153533935547,1,1,15,0.75,0,0.24544781711868352
